sno,COMPLAINT ID,COMPLAINT DESCRIPTION,COMPLAINT TYPE,RECEIVED DATE,COMPLAINT DATE,COUNTY,CLOSED DATE,STATUS,ZIP CODE
561,8138,Concerned site operating illegal crusher.,ARA AQCP non-regulated entity,2021-03-02,2021-03-02,Baltimore City,2021-03-12,Incident Closed-Managed,21226
562,8137,Bad odors from land applying sludge.,"Agricultural, Odor",2021-03-10,2021-03-10,Wicomico,,Referred to Outside Agency,21830
563,8136,"Complainant stated, very strong smell of acid coming from the plant area and smell noticed from the road",Air,2021-03-10,2021-03-09,Charles,,Under Investigation,20601
564,8135,"Complainant stated, Spraying toxic chemicals in the air around houses through sewer system",Air,2021-03-10,2021-03-09,Charles,,Under Investigation,20601
565,8130,"On 3/3/21 at 1031 AM, Mr. Mullin left a voice mail on the complaint line stating that he observed  dark smoke coming from the Wheelabrator.",Air,2021-03-08,2021-03-03,Baltimore City,2021-03-03,Incident Closed-Managed,21230
566,8129,He smells an industrial odor in the residential neighborhood.,Odor,2021-03-05,2021-03-05,Baltimore City,2021-03-05,Incident Closed-Managed,
567,8127,Lead paint in school,Other,2021-03-04,2021-03-04,Outside of Maryland,2021-03-04,Incident Closed - No further action,
568,8126,Pollutant from frying pathway,Other,2021-03-01,2021-03-01,Prince Georges,2021-03-01,Incident Closed-Managed,
569,8125,He smells an industrial odor in the residential neighborhood.,Odor,2021-02-28,2021-02-28,Baltimore City,2021-03-02,Incident Closed-Managed,
570,8123,He smells an industrial odor in the residential neighborhood.,Odor,2021-02-27,2021-02-27,Baltimore City,2021-03-02,Incident Closed-Managed,
571,8122,That neighbor is burning plastic with trash causing an odor.,Odor,2021-02-25,2021-02-25,Calvert,2021-03-02,Incident Closed-Managed,
572,8121,He smells an industrial odor in the residential neighborhood.,Odor,2021-02-24,2021-02-24,Baltimore City,2021-03-02,Incident Closed-Managed,
573,8120,Rain Runoff/Flooding,Stormwater,2021-03-01,2021-03-01,Allegany,,Referred to WMA,21530
574,8119,Concerns related to dust inside home created by construction/ renovation.,Fugitive Dust/Particulate Matter,2021-02-25,2021-02-24,Montgomery,2021-03-01,Incident Closed-Managed,20814
575,8118,Received an email on 3/1/21 that originated as a regional tip /complaint to the EPA email stated. I suspect this and 2 other facilities of causing industrial air pollution in our area. The air is unhealthy.,Air,2021-03-01,,Anne Arundel,2021-03-05,Incident Closed-Managed,21226
576,8117,Received an email on 3/1/21 that originated as a regional tip/complaint to the EPA. I suspect this facility (along with 2 others) of releasing industrial air pollution. The air is unhealthy.,Air,2021-03-01,,Anne Arundel,2021-03-05,Incident Closed-Managed,21226
577,8105,Smoke from burning leaves and yard waste.,Air,2021-02-23,2021-02-19,Anne Arundel,,,
578,8104,gas smell around 3000 lake Ave,Other,2021-02-19,2021-02-19,Prince Georges,2021-02-22,Incident Closed-Managed,
579,8103,Foul odor in water,Other,2021-02-19,2021-02-19,,2021-02-22,Incident Closed-Managed,
580,8102,Mold disposal,Other,2021-02-20,2021-02-19,Baltimore,2021-02-19,Incident Closed - No further action,
